loc_rowid,pl_name,host_name,sy_star_count,sy_planet_count,disc_method,disc_year,disc_facility,disc_telescope,disc_instrument,facility_count,telescope_count,instrument_count,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,ttv_flag,st_temp_eff_k,st_temp_eff_k1,st_temp_eff_k2,st_radius,st_mass,st_metallicity,st_surf_gravity,rastr,ra,decstr,dec,sy_distance_pc,sy_vmag,sy_kmag,sy_gaiamag
4262,Kepler-887 c,Kepler-887,1,2,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,7.63846023,0.0797,1.13,0.101,1.51,0.00474,M-R relationship,0,0,6194,62.11,-49.68,1.29,1.19,0.08,4.29,19h20m21.79s,290.0907893,+39d49m00.87s,39.8169085,886.588,13.52,12.241,13.4496
4263,Kepler-888 b,Kepler-888,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,70.6979061,0.328,1.76,0.157,3.75,0.0118,M-R relationship,0,0,5875,66.36,-56.7,0.9,0.97,-0.21,4.52,19h42m05.11s,295.5212866,+49d44m19.25s,49.7386804,420.817,13.061,11.594,12.9814
4264,Kepler-889 b,Kepler-889,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,3.744439,0.0492,1.09,0.097,1.32,0.00416,M-R relationship,0,0,5961,75.23,-59.95,1.25,1.14,0.19,4.3,19h25m52.19s,291.467454,+50d45m34.41s,50.7595597,598.313,12.998,11.327,12.6802
4265,Kepler-890 b,Kepler-890,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,52.75875577,0.2944,8.89,0.793,58.6,0.184,M-R relationship,0,0,5954,84.71,-101.27,1.13,1.09,0.09,4.37,19h13m44.57s,288.435718,+43d45m48.50s,43.7634712,1712.12,15.235,13.665,15.1361
4266,Kepler-891 b,Kepler-891,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,53.44945593,0.2881,6.41,0.572,33.6,0.106,M-R relationship,0,0,5887,115.84,-117.44,1.07,1.06,0.09,4.41,19h24m20.10s,291.0837644,+40d21m18.81s,40.3552252,2340.58,15.386,13.85,15.273
4267,Kepler-892 b,Kepler-892,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,13.7521072,0.1015,2.81,0.251,8.3,0.0261,M-R relationship,0,0,4747,47.29,-45.63,0.72,0.75,-0.04,4.61,18h52m31.11s,283.1296399,+43d53m17.15s,43.8880983,570.727,15.967,13.335,15.5902
4268,Kepler-893 b,Kepler-893,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,6.33855761,0.0699,3.03,0.27,9.43,0.0297,M-R relationship,0,0,5820,98.79,-75.6,0.99,1,-0.03,4.45,18h59m51.13s,284.9630591,+43d54m46.90s,43.9130282,1285.59,15.347,13.744,15.1735
4269,Kepler-894 b,Kepler-894,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,9.803224,0.0916,2.78,0.248,8.15,0.0256,M-R relationship,0,0,5603,83.94,-60.71,0.85,0.87,-0.25,4.53,19h14m56.17s,288.7340513,+46d56m21.71s,46.939363,1162.91,15.686,13.84,15.4056
4270,Kepler-895 b,Kepler-895,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,2.80624233,0.0328,1.54,0.137,2.99,0.0094,M-R relationship,0,0,4315,42.14,-38.65,0.61,0.65,-0.16,4.67,19h17m09.77s,289.2906978,+51d24m32.38s,51.4089936,540.134,16.21,13.387,15.9804
4271,Kepler-896 b,Kepler-896,1,1,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,2708,3245,3245,0,144.547396,0.5164,2.53,0.226,6.94,0.0218,M-R relationship,0,0,5262,56.73,-52.21,0.81,0.84,-0.1,4.56,18h49m45.39s,282.4391402,+43d44m03.94s,43.7344291,2334.93,15.457,13.659,15.4307
