reportPeriod,ticker,period,sector,company,city,state,calendarDate,updated,dateKey,Price_Actual,Price_LQ,Delta_QoQ,Return_QoQ,Price_Avg,accumulatedOtherComprehensiveIncome,assets,bookValuePerShare,capitalExpenditure,cashAndEquivalents,cashAndEquivalentsUSD,costOfRevenue,consolidatedIncome,debtToEquityRatio,debt,debtUSD,deferredRevenue,depreciationAmortizationAndAccretion,deposits,dividendYield,dividendsPerBasicCommonShare,earningBeforeInterestTaxes,earningsBeforeInterestTaxesDepreciationAmortization,EBITDAMargin,earningsBeforeInterestTaxesDepreciationAmortizationUSD,earningBeforeInterestTaxesUSD,earningsBeforeTax,earningsPerBasicShare,earningsPerDilutedShare,earningsPerBasicShareUSD,shareholdersEquity,shareholdersEquityUSD,enterpriseValue,enterpriseValueOverEBIT,enterpriseValueOverEBITDA,freeCashFlow,freeCashFlowPerShare,foreignCurrencyUSDExchangeRate,grossProfit,grossMargin,goodwillAndIntangibleAssets,interestExpense,investedCapital,inventory,investments,totalLiabilities,marketCapitalization,netCashFlow,netCashFlowBusinessAcquisitionsDisposals,issuanceEquityShares,issuanceDebtSecurities,paymentDividendsOtherCashDistributions,netCashFlowFromFinancing,netCashFlowFromInvesting,netCashFlowInvestmentAcquisitionsDisposals,netCashFlowFromOperations,effectOfExchangeRateChangesOnCash,netIncome,netIncomeCommonStock,netIncomeCommonStockUSD,netLossIncomeFromDiscontinuedOperations,netIncomeToNonControllingInterests,profitMargin,operatingExpenses,operatingIncome,tradeAndNonTradePayables,payoutRatio,priceToBookValue,priceEarnings,priceToEarningsRatio,propertyPlantEquipmentNet,preferredDividendsIncomeStatementImpact,sharePriceAdjustedClose,priceSales,priceToSalesRatio,tradeAndNonTradeReceivables,accumulatedRetainedEarningsDeficit,revenues,revenuesUSD,researchAndDevelopmentExpense,shareBasedCompensation,sellingGeneralAndAdministrativeExpense,shareFactor,shares,weightedAverageShares,weightedAverageSharesDiluted,salesPerShare,tangibleAssetValue,taxAssets,incomeTaxExpense,taxLiabilities,tangibleAssetsBookValuePerShare,assetsCurrent,assetsNonCurrent,currentRatio,debtCurrent,debtNonCurrent,investmentsCurrent,investmentsNonCurrent,currentLiabilities,liabilitiesNonCurrent,workingCapital,Year,Month,Quarter,Yr-Q
2007-09-30,LSI,Q,SELF STORAGE,LifeStorage REIT,Amherst,NY,2007-09-30,2020-02-26,2007-11-02,$15.99,$16.59,($0.59),(3.58%),,684000,1149753000,24.735,-12407000,8504000,8504000,18150000,10875000,1.123,551911000,551911000,5746000,8622000,0,0.058,0.63,19967000,28589000,0.561,28589000,19967000,10875000,0.51,0.51,0.51,529091000,529091000,1477693043,21,14.135,10799000,0.505,1,32848000,0.644,0,9092000,1693160000,0,0,594100000,934286043,1737000,0,3251000,1631000,-12775000,-8873000,-12596000,0,23206000,0,10875000,10875000,10875000,0,0,0.213,12358000,20490000,22827000,1.235,1.766,26.129,24.373,1124755000,0,43.14,4.963,4.902,2952000,-95518000,50998000,50998000,0,359000,3968000,1,21657071,21390303,21426962,2.384,1149753000,0,0,0,53.751,,,,,,,,,,,2007,9,3,2007-3
2007-09-30,DEI,Q,OFFICE,Douglas Emmett Realty,Santa Monica,CA,2007-09-30,2020-02-15,2007-11-07,$15.94,$15.84,$0.11 ,0.68%,,-33903000,6122323000,17.204,-14029000,2049000,2049000,37149000,-2785000,1.758,2965471000,2965471000,0,40633000,30566000,0.025,0.175,38719000,79352000,0.606,79352000,38719000,-2785000,-0.03,-0.03,-0.03,1908906000,1908906000,5780661612,,,31030000,0.28,1,93783000,0.716,26936000,41504000,9058809000,0,0,3356010000,2817239612,-63912000,0,-105030000,39100000,-19982000,-94942000,-14029000,0,45059000,0,-2785000,-2785000,-2785000,0,0,-0.021,56491000,37292000,64514000,-5.833,1.476,,,5973188000,0,25.65,,,794000,-203075000,130932000,130932000,0,408000,5862000,1,109833903,110956113,110956113,1.18,6095387000,0,0,0,54.935,,,,,,,,,,,2007,9,3,2007-3
2007-09-30,AIV,Q,RESIDENTIAL,Aimco,Denver,CO,2007-09-30,2020-02-25,2007-11-05,$1.98,$2.18,($0.20),(9.17%),,0,10519010000,22.107,-114464000,643944000,643944000,206263000,-2341000,3.966,7371308000,7371308000,154293000,126181000,48860000,0.06,0.619,104313000,230494000,0.535,230494000,104313000,-2341000,-0.227,-0.227,-0.227,2036991000,2036991000,10547776260,20,10.052,14695000,0.159,1,224941000,0.522,0,106654000,17246374000,0,218265000,8079024000,3820412260,79467000,0,-48620000,214817000,-57240000,52486000,-102178000,-16628000,129159000,0,-2341000,-21361000,-21361000,-15463000,0,-0.05,143277000,81664000,57572000,-2.727,1.876,67.506,67.791,9227619000,19020000,41.217,2.242,2.228,108643000,-1700714000,431204000,431204000,0,0,20220000,1,92690924,92143021,92143021,4.68,10519010000,12583000,0,0,114.16,,,,,,,,,,,2007,9,3,2007-3
2007-09-30,FR,Q,INDUSTRIAL,First Industrial,Chicago,IL,2007-09-30,2020-04-29,2007-11-05,$27.24,$26.68,$0.56 ,2.09%,,-9301000,3255281000,21.418,40755000,6373000,6373000,38895000,34160000,2.277,1932863000,1932863000,0,44918000,30094000,0.075,0.71,61517000,106435000,0.977,106435000,61517000,31321000,0.66,0.66,0.66,947542000,947542000,3616516045,14,8.473,58258000,1.317,1,70022000,0.643,0,30196000,5181771000,0,61003000,2157770000,1690026045,-1761000,200000,-29447000,-45146000,-36851000,-116638000,97374000,15550000,17503000,0,34160000,29303000,29303000,-62430000,0,0.269,62644000,7378000,130641000,1.076,1.784,15.402,15.316,2829206000,4857000,37.83,3.817,3.78,42887000,-293577000,108917000,108917000,0,0,21307000,1,44674228,44240000,44240000,2.462,3255281000,0,-2839000,0,73.582,,,,,,,,,,,2007,9,3,2007-3
2007-09-30,CUBE,Q,SELF STORAGE,CubeSmart,Cleveland,OH,2007-09-30,2020-02-22,2007-11-09,$7.89,$9.63,($1.74),(18.03%),,-427000,1698729000,9.948,-126023000,25352000,25352000,25110000,-4130000,1.88,1019238000,1019238000,10229000,17316000,0,0.107,0.29,9536000,26852000,0.461,26852000,9536000,-4130000,-0.07,-0.07,-0.07,572379000,572379000,1619933170,41,14.779,-105042000,-1.826,1,33196000,0.569,0,13666000,2692615000,0,0,1075901000,626047170,2460000,0,0,128396000,-16680000,110086000,-128607000,0,20981000,0,-4130000,-4130000,-4130000,0,0,-0.071,23683000,9513000,45840000,-4.143,1.094,-48.117,-47.174,1652427000,0,10.85,2.779,2.771,0,-225032000,58306000,58306000,0,542000,5291000,1,57700200,57537000,57537000,1.013,1698729000,0,0,0,29.524,,,,,,,,,,,2007,9,3,2007-3
2007-09-30,BXP,Q,OFFICE,Boston Properties,Boston,MA,2007-09-30,2020-03-02,2007-11-09,$60.71,$59.28,$1.43 ,2.41%,,-6342000,10985621000,36.534,186660000,1912033000,1912033000,120415000,242370000,1.353,5409268000,5409268000,0,71616000,0,0.081,0.68,312299000,383915000,1.033,383915000,312299000,242370000,2.02,1.99,2.02,4347882000,4347882000,15447633290,10,8.357,327927000,2.755,1,251092000,0.676,0,69929000,14482856000,0,102488000,5884119000,11950398290,8880000,-10582000,995000,-213928000,-96262000,-308465000,176078000,0,141267000,0,242370000,242370000,242370000,0,0,0.652,91805000,159287000,133714000,0.337,2.749,9.397,9.312,8315692000,0,100.2,8.026,8.009,43199000,1065993000,371507000,371507000,0,3047000,20189000,1,119265452,119010000,120655000,3.122,10985621000,0,0,0,92.308,,,,,,,,,,,2007,9,3,2007-3
2007-09-30,DLR,Q,DATA CENTER,Digital Realty,San Francisco,CA,2007-09-30,2020-03-03,2007-11-09,$21.85,$20.74,$1.11 ,5.36%,,9053000,2576119000,15.175,-163034000,87898000,87898000,38398000,5135000,1.716,1335108000,1335108000,0,21961000,0,0.029,0.286,21818000,43779000,0.418,43779000,21818000,5135000,0,0,0,921368000,921368000,3815546864,37,21.33,-140589000,-2.315,1,66396000,0.634,0,16683000,3823329000,0,0,1580786000,2568336864,1168000,21630000,98000,149867000,-19459000,121776000,-143053000,0,22445000,0,5135000,-224000,-224000,16000,0,-0.002,44971000,21425000,104795000,,2.788,107.076,96.732,2067786000,5359000,39.66,6.87,6.441,30322000,-83069000,104794000,104794000,0,1595000,7775000,1,64758872,60717153,60717153,1.726,2576119000,0,0,0,42.428,,,,,,,,,,,2007,9,3,2007-3
2007-09-30,DRE,Q,INDUSTRIAL,Duke Realty,Carmel,IN,2007-09-30,2020-05-02,2007-11-05,$17.08,$17.75,($0.67),(3.78%),,6053000,7416842000,19.241,-45225000,18424000,18424000,196926000,68614000,1.768,4165682000,4165682000,0,55873000,28251000,0.064,0.48,68614000,124487000,0.557,124487000,68614000,68614000,0.39,0.39,0.39,2647079000,2647079000,8500657366,31,17.601,8606000,0.063,1,26561000,0.119,0,0,11564100000,0,351259000,4679239000,4353399366,-27032000,-35111000,2753000,87011000,-65749000,13866000,-94729000,12118000,53831000,0,68614000,53387000,53387000,-38925000,0,0.239,3847000,22714000,140679000,1.231,1.645,20.808,19.416,6180911000,15227000,29.9,4.737,4.476,193217000,-615200000,223487000,223487000,0,0,3847000,1,145598641,137576000,147651000,1.624,7416842000,0,0,88182000,53.911,,,,,,,,,,,2007,9,3,2007-3
2007-09-30,EQIX,Q,DATA CENTER,Equinix (REIT),Foster City,CA,2007-09-30,2020-02-22,2007-11-02,$70.81,$73.03,($2.22),(3.04%),,10773000,2130566000,25.713,-112860000,343452000,343452000,62891000,4124000,1.615,1058610000,1058610000,0,22898000,0,0,0,10001000,32899000,0.317,32899000,10001000,4339000,0.13,0.12,0.13,814677000,814677000,4877632219,166,42.977,-64433000,-2.034,1,40891000,0.394,500468000,5662000,2147237000,0,92910000,1315889000,4162474219,108854000,-606719000,350352000,432888000,0,783240000,-721257000,-3025000,48427000,-1556000,4124000,4124000,4124000,0,0,0.04,34812000,6079000,94339000,0,5.109,416.414,327.686,1069080000,0,114.69,11.546,10.08,49176000,-552559000,103782000,103782000,0,10489000,34812000,1,36293262,31683000,33112000,3.276,1630098000,0,215000,0,51.45,483122000,1647444000,2.44,6927000,1051683000,64005000,28905000,198019000,1117870000,285103000,2007,9,3,2007-3
2007-09-30,WRE,Q,OFFICE,WashREIT,Washington,DC,2007-09-30,2020-04-27,2007-11-09,$16.20,$16.38,($0.18),(1.10%),,0,1845801000,10.669,171504000,55921000,55921000,20604000,34390000,2.702,1261094000,1261094000,0,18285000,10075000,0.049,0.42,50214000,68499000,1.037,68499000,50214000,34390000,0.74,0.73,0.74,497143000,497143000,2776573112,23,14.658,192680000,4.135,1,45424000,0.688,0,15824000,3050974000,0,0,1343065000,1571400112,1786000,0,57000,32207000,-19809000,12225000,-31615000,0,21176000,0,34390000,34390000,34390000,0,0,0.521,21459000,23965000,65335000,0.568,3.161,24.739,24.223,1677246000,0,33.67,6.274,6.264,35677000,-64019000,66028000,66028000,0,363000,3174000,1,46670630,46596000,46802000,1.417,1845801000,0,0,0,39.613,,,,,,,,,,,2007,9,3,2007-3
2007-09-30,KRC,Q,OFFICE,Kilroy Realty Corp,Los Angeles,CA,2007-09-30,2020-04-30,2007-10-24,$36.36,$42.10,($5.74),(13.63%),,0,1963750000,19.817,-57321000,5017000,5017000,17659000,11430000,1.89,1050143000,1050143000,0,18771000,0,0.035,0.555,20439000,39210000,0.58,39210000,20439000,11430000,0.28,0.28,0.28,641535000,641535000,3126415523,33,18.86,-15199000,-0.469,1,49980000,0.739,0,9009000,3008876000,0,11457000,1212609000,2081289523,-7479000,0,29000,31666000,-19397000,8172000,-57773000,291000,42122000,0,11430000,9028000,9028000,-61000,0,0.133,27890000,22090000,67356000,1.982,3.244,43.561,43.507,1804868000,2402000,63.52,8.035,7.938,70304000,-134943000,67639000,67639000,0,3730000,8719000,1,32765893,32373228,32501719,2.089,1963750000,0,0,0,60.66,,,,,,,,,,,2007,9,3,2007-3
2007-12-31,AIV,Q,RESIDENTIAL,Aimco,Denver,CO,2007-12-31,2020-02-25,2008-02-29,$1.65,$1.98,($0.32),(16.35%),,0,10606532000,16.174,-153309000,529420000,529420000,198340000,-12281000,4.745,7531782000,7531782000,202392000,129964000,49469000,0.125,3.207,96103000,226067000,0.512,226067000,96103000,-12281000,-0.268,-0.268,-0.268,1749704000,1749704000,10162696035,22,10.671,-20269000,-0.187,1,243466000,0.551,0,108384000,17608894000,0,295457000,8301787000,3160334035,-127033000,0,-121672000,125038000,-57203000,-277616000,17543000,138526000,133040000,0,-12281000,-26582000,-26582000,-8461000,0,-0.06,148171000,95295000,56792000,-11.966,1.806,-87.532,-95.753,9348692000,14301000,35.525,1.836,1.994,106421000,-2018733000,441806000,441806000,0,14921000,23930000,1,88962073,108179829,108179829,4.084,10606532000,14426000,0,0,98.045,,,,,,,,,,,2007,12,4,2007-4
2007-12-31,MAA,Q,RESIDENTIAL,MAA REIT,Germantown,TN,2007-12-31,2020-02-21,2008-02-27,$23.74,$27.38,($3.64),(13.28%),,-16908000,1783822000,15.759,-14816000,20916000,20916000,58182000,7604000,3.371,1264620000,1264620000,0,22476000,8453000,0.048,0.615,23861000,46337000,0.509,46337000,23861000,7604000,0.14,0.15,0.14,400956000,400956000,2553618976,24,13.233,12023000,0.473,1,32841000,0.361,4106000,16257000,3023420000,0,0,1351424000,1309914976,13151000,-117000,3219000,29265000,-16969000,338000,-14026000,0,26839000,0,7604000,3799000,3799000,9134000,0,0.042,7947000,24894000,1099000,4.393,3.267,51.031,50.317,1720553000,3805000,50.82,3.711,3.642,0,-414966000,91023000,91023000,0,424000,7947000,1,25775580,25443000,25579000,3.578,1779716000,0,0,0,69.949,,,,,,,,,,,2007,12,4,2007-4
2007-12-31,O,Q,NET LEASE,Realty Income Corp,San Diego,CA,2007-12-31,2020-02-24,2008-02-15,$12.78,$13.04,($0.25),(1.94%),,0,3077352000,15.33,-124896000,193101000,193101000,869000,33176000,1.001,1470000000,1470000000,0,21060000,0,0.067,0.41,56339000,77399000,0.96,77399000,56339000,33620000,0.27,0.27,0.27,1538092000,1538092000,3674343756,18,12.969,-25582000,-0.255,1,79747000,0.989,17206000,22719000,4337045000,0,0,1539260000,2397444756,-73543000,0,-544349000,544397000,-41277000,-47283000,-125574000,0,99314000,0,33176000,27113000,27113000,0,0,0.336,26535000,53212000,53956000,1.519,1.559,20.64,20.405,2824255000,6063000,23.67,8.085,7.998,7142000,-344735000,80616000,80616000,0,832000,5475000,1,101286217,100333145,100355287,0.803,3060146000,0,444000,0,30.5,,,,,,,,,,,2007,12,4,2007-4
2007-12-31,WRE,Q,OFFICE,WashREIT,Washington,DC,2007-12-31,2020-04-27,2008-02-29,$15.54,$16.20,($0.65),(4.04%),,0,1898326000,10.439,-262955000,27518000,27518000,20595000,8442000,2.894,1324107000,1324107000,0,19084000,10487000,0.052,0.42,24850000,43934000,0.68,43934000,24850000,8442000,0.18,0.18,0.18,486544000,486544000,2786749877,23,14.305,-234748000,-5.036,1,44032000,0.681,0,16408000,3194915000,0,0,1408006000,1490160877,11569000,0,51000,63013000,-19839000,43198000,-59836000,0,28207000,0,8442000,8442000,8442000,0,0,0.131,21907000,22125000,63543000,2.333,3.063,24.081,23.644,1730450000,0,31.92,5.829,5.732,36595000,-75416000,64627000,64627000,0,746000,3675000,1,46684238,46610000,46829000,1.387,1898326000,0,0,0,40.728,,,,,,,,,,,2007,12,4,2007-4
2007-12-31,SHO,Q,LODGING,Sunstone Hotel Investors,Irvine,CA,2007-12-31,2020-02-20,2008-02-21,$10.04,$13.82,($3.78),(27.36%),,0,3049152000,18.604,5474000,115854000,115854000,142246000,29796000,1.696,1722151000,1722151000,0,29738000,0,0.081,0.35,53960000,83698000,0.291,83698000,53960000,29796000,0.41,0.42,0.41,1093935000,1093935000,2578055087,11,7.536,64314000,1.094,1,144964000,0.505,16251000,24164000,4501847000,3190000,35816000,1855721000,971758087,32838000,-121000,0,-11547000,-24179000,-35726000,9724000,0,58840000,0,29796000,24277000,24277000,-5649000,0,0.085,102218000,42746000,43591000,0.854,0.888,9.409,9.291,2786821000,5519000,16.26,0.92,0.908,37635000,-70457000,287210000,287210000,0,1037000,68378000,1,59763720,58800000,58908000,4.885,3032901000,0,0,0,51.58,165700000,2883452000,1.206,9815000,1712336000,0,35816000,137351000,1718370000,28349000,2007,12,4,2007-4
2007-12-31,SHO,Q,LODGING,Sunstone Hotel Investors,Irvine,CA,2007-12-31,2020-02-20,2008-02-25,$10.04,$10.04,- ,- ,,0,3049152000,18.604,5474000,115854000,115854000,142246000,29796000,1.696,1722151000,1722151000,0,29738000,0,0.078,0.35,53960000,83698000,0.291,83698000,53960000,29796000,0.41,0.42,0.41,1093935000,1093935000,2609729859,12,7.628,64314000,1.094,1,144964000,0.505,16251000,24164000,4501847000,3190000,35816000,1855721000,1003432859,32838000,-121000,0,-11547000,-24179000,-35726000,9724000,0,58840000,0,29796000,24277000,24277000,-5649000,0,0.085,102218000,42746000,43591000,0.854,0.917,9.715,9.594,2786821000,5519000,16.79,0.95,0.937,37635000,-70457000,287210000,287210000,0,1037000,68378000,1,59763720,58800000,58908000,4.885,3032901000,0,0,0,51.58,165700000,2883452000,1.206,9815000,1712336000,0,35816000,137351000,1718370000,28349000,2007,12,4,2007-4
2007-12-31,OFC,Q,OFFICE,Corporate Office Properties Trust,Columbia,MD,2007-12-31,2020-02-20,2008-02-29,$16.88,$22.08,($5.20),(23.54%),,-2372000,2931853000,17.361,-38786000,39759000,39759000,39390000,9929000,2.406,1825842000,1825842000,11530000,26965000,30978000,0.042,0.34,30789000,57754000,0.562,57754000,30789000,10018000,0.12,0.12,0.12,822642000,822642000,3237927749,28,14.39,3333000,0.07,1,63355000,0.617,108661000,20771000,4609275000,0,0,1979116000,1451844749,2743000,95000,433000,25818000,-23057000,1100000,-40476000,0,42119000,0,9929000,5904000,5904000,-372000,0,0.057,31245000,32110000,75363000,2.833,1.765,77.572,76.6,2603472000,4025000,30.64,3.54,3.54,78462000,-126156000,102745000,102745000,0,1674000,5401000,1,47383967,47383967,,2.168,2823192000,0,89000,0,59.581,,,,,,,,,,,2007,12,4,2007-4
2007-12-31,ADC,Q,NET LEASE,Agree Realty Corporation,Farmington Hills,MI,2007-12-31,2020-04-20,2008-03-13,$13.05,$13.36,($0.31),(2.35%),,0,239347506,16.88,-9103698,544639,544639,914900,4660819,0.774,82560168,82560168,11414404,1305479,64085,0.068,0.5,5948563,7254042,0.79,7254042,5948563,4660819,0.6,0.6,0.6,131613810,131613810,306642662,15,11.989,-3176215,-0.407,1,8262330,0.9,0,1287744,321363035,0,0,101837516,224627133,398285,0,0,5985876,-4126518,1825825,-7355023,0,5927483,0,4660819,4660819,4660819,0,0,0.508,2953976,5308354,6764688,0.833,1.707,14.509,14.262,235823132,0,28.81,6.517,6.517,770365,-10647624,9177230,9177230,0,246936,1524819,1,7796846,7796846,,1.177,239347506,0,0,705000,30.698,,,,,,,,,,,2007,12,4,2007-4
2007-12-31,HST,Q,LODGING,Host Hotels & Resorts,Bethesda,MD,2007-12-31,2020-02-25,2008-02-26,$11.24,$13.68,($2.44),(17.85%),,45000000,11812000000,10.393,-221000000,553000000,553000000,1188000000,294000000,1.131,5625000000,5625000000,0,165000000,0,0.059,0.4,404000000,569000000,0.318,569000000,404000000,294000000,0.56,0.54,0.56,5441000000,5441000000,13909298585,12,8.319,114000000,0.218,1,604000000,0.337,0,110000000,16884000000,0,194000000,6155000000,8837298584,-71000000,65000000,0,-196000000,-104000000,-258000000,-148000000,0,335000000,0,294000000,291000000,291000000,-28000000,0,0.162,234000000,370000000,315000000,0.714,1.624,12.308,12.232,10588000000,3000000,16.88,1.629,1.629,106000000,-379000000,1792000000,1792000000,0,0,117000000,1,523536646,523536646,,3.423,11812000000,0,0,0,22.562,,,,,,,,,,,2007,12,4,2007-4
2007-12-31,WPC,Q,NET LEASE,WP Carey REIT,New York,NY,2007-12-31,2020-05-02,2008-02-29,$13.82,$12.83,$0.99 ,7.74%,,2738000,1153284000,16.646,-43865000,12137000,12137000,5458000,6013000,0.809,316751000,316751000,0,6181000,0,0.051,0.27,13441000,19622000,0.38,19622000,13441000,8711000,0.16,0.15,0.16,634271000,634271000,1582733954,10,8.833,-21287000,-0.559,1,46149000,0.894,99873000,4730000,1358025000,0,332140000,512923000,1278119954,-4931000,0,11729000,-182000,-18176000,-12393000,-14968000,-10513000,22578000,-148000,6013000,6013000,6013000,-9806000,0,0.117,50487000,-4338000,101041000,1.688,2.015,16.127,15.63,586594000,0,32.51,4.857,4.709,88329000,-117051000,51607000,51607000,0,1756000,13983000,1,39314671,38103588,40317266,1.354,1053411000,0,2698000,65152000,27.646,,,,,,,,,,,2007,12,4,2007-4
2007-12-31,FR,Q,INDUSTRIAL,First Industrial,Chicago,IL,2007-12-31,2020-04-29,2008-02-26,$24.73,$27.24,($2.51),(9.20%),,-9630000,3258033000,21.375,80812000,30660000,30660000,44190000,48291000,2.364,1946670000,1946670000,0,44002000,31425000,0.089,0.72,72225000,116227000,1.112,116227000,72225000,42675000,1,1,1,923919000,923919000,3317362222,13,7.541,94320000,2.182,1,60367000,0.577,0,29550000,5174043000,0,57543000,2183755000,1401352222,3369000,3298000,-40040000,10669000,-36326000,-75418000,65279000,2415000,13508000,0,48291000,43434000,43434000,-74928000,0,0.415,61435000,-1068000,146308000,0.72,1.517,10.639,10.756,2816287000,4857000,32.16,3.222,3.26,42330000,-281587000,104557000,104557000,0,0,25623000,1,43574385,43225000,43225000,2.419,3258033000,0,-5616000,0,75.374,,,,,,,,,,,2007,12,4,2007-4
2007-12-31,VNO,Q,OFFICE,Vornado,New York,NY,2007-12-31,2020-02-26,2008-02-26,$35.06,$43.26,($8.20),(18.95%),,29772000,22478935000,39.892,-147038000,1154595000,1154595000,438719000,105214000,2.43,12951812000,12951812000,861643000,153307000,0,0.029,0.658,273824000,427131000,0.481,427131000,273824000,108929000,0.6,0.58,0.6,6118399000,6118399000,25498139378,21,14.489,63194000,0.412,1,449745000,0.506,0,164895000,34276152000,0,2332876000,14866776000,13700922378,320321000,-71487000,-13057000,295936000,-137451000,112236000,-2147000,164959000,210232000,0,105214000,90923000,90923000,-34124000,0,0.102,211731000,238014000,625319000,1.097,2.239,26.774,26.507,16565296000,14291000,89.33,4.189,4.189,799310000,-82178000,888464000,888464000,0,0,61278000,1,153374257,153374257,,5.793,22478935000,0,3715000,241895000,146.563,,,,,,,,,,,2007,12,4,2007-4
2007-12-31,UDR,Q,RESIDENTIAL,UDR,Highlands Ranch,CO,2007-12-31,2020-02-22,2008-02-26,$10.39,$12.57,($2.18),(17.32%),,-814000,4801121000,7.666,-76162000,9514000,9514000,-21506000,103991000,3.649,3502676000,3502676000,0,65147000,0,0.058,0.33,145593000,210740000,-5.798,210740000,145593000,103991000,0.75,0.75,0.75,1019393000,1019393000,6552154155,17,9.972,-20659000,-0.155,1,-14840000,0.408,0,41602000,8294283000,0,60919000,3719679000,3058992155,866000,-250766000,-26179000,65270000,-44460000,-11419000,-43218000,339927000,55503000,0,103991000,100806000,100806000,-70127000,0,-2.774,21674000,-36514000,100664000,0.44,3.001,14.909,14.993,4580782000,3185000,22.94,6.116,6.146,0,-783238000,-36346000,-36346000,0,1657000,14498000,1,133347522,132978000,132978000,-0.273,4801121000,0,0,8808000,36.105,,,,,,,,,,,2007,12,4,2007-4
2007-12-31,EGP,Q,INDUSTRIAL,EastGroup Properties,Jackson,MS,2007-12-31,2020-02-14,2008-02-28,$24.30,$25.98,($1.68),(6.48%),,-56000,1055833000,17.047,-45985000,724000,724000,10359000,9301000,1.624,600804000,600804000,0,12596000,0,0.046,0.5,16453000,29049000,0.755,29049000,16453000,9301000,0.37,0.36,0.37,402385000,402385000,1632944498,29,15.536,-26803000,-1.136,1,28114000,0.731,0,7152000,1655913000,0,2630000,653448000,1032864498,-431000,0,180000,37231000,-13241000,17846000,-37459000,6034000,19182000,0,9301000,8645000,8645000,-645000,0,0.225,15023000,13091000,34179000,1.351,2.567,38.099,37.73,998797000,656000,43.39,6.852,6.783,0,-97460000,38473000,38473000,0,744000,2427000,1,23804206,23604000,23823000,1.63,1055833000,0,0,0,44.731,,,,,,,,,,,2007,12,4,2007-4
2007-12-31,APLE,Q,LODGING,Apple Hospitality REIT,Richmond,VA,2007-12-31,2020-02-24,2008-04-23,- ,- ,- ,- ,,0,336764,0.003,,19904,19904,,,9.772,150500,150500,0,,0,,0,,,,,,,,,,31264,31264,,,,,,1,,,0,,467360,0,0,305500,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,-16846,,,,,,1,10581919,10581919,,,336764,0,,0,0.032,,,,,,,,,,,2007,12,4,2007-4
2007-12-31,VTR,Q,HEALTH CARE,Ventas,Chicago,IL,2007-12-31,2020-02-24,2008-02-29,$26.16,$23.67,$2.49 ,10.53%,,17416000,5716628000,13.668,116304000,82411000,82411000,75395000,29401000,2.117,3360499000,3360499000,9065000,72544000,0,0.045,0.475,71880000,144424000,0.621,144424000,71880000,16433000,0.18,0.18,0.18,1823654000,1823654000,9062287894,20,13.067,168141000,1.26,1,157158000,0.676,0,55447000,8994716000,0,0,3861520000,5784199894,-9611000,0,-16000,47289000,-63486000,-3443000,-58005000,-7961000,51837000,9372000,29401000,29401000,29401000,0,0,0.126,84703000,72455000,173576000,2.639,3.172,20.873,18.504,5494011000,0,41.82,7.495,6.643,0,-47846000,232553000,232553000,0,1891000,11506000,1,138311810,133421000,133782000,1.743,5716628000,0,-12968000,297590000,42.847,,,,,,,,,,,2007,12,4,2007-4
2007-12-31,HIW,Q,OFFICE,Highwoods Properties,Raleigh,NC,2007-12-31,2020-04-28,2008-03-03,$14.49,$17.86,($3.38),(18.90%),,-938000,2926955000,18.042,-40336000,19036000,19036000,39734000,15458000,1.795,1677058000,1677058000,0,16589000,0,0.056,0.425,39936000,56525000,0.506,56525000,39936000,15458000,0.22,0.22,0.22,1022033000,1022033000,3383327885,18,11.497,518000,0.009,1,71941000,0.644,0,24478000,4584977000,0,63272000,1834824000,1725305885,-328000,4260000,285000,40482000,-26001000,11604000,-52786000,204000,40854000,0,15458000,12620000,12620000,-8363000,0,0.113,40039000,31902000,157766000,1.932,1.688,23.009,22.692,2622091000,2838000,30.18,3.948,3.898,97948000,-561093000,111675000,111675000,0,1217000,10142000,1,57167193,56648000,61355000,1.971,2926955000,0,0,0,51.669,,,,,,,,,,,2007,12,4,2007-4
2007-12-31,NNN,Q,NET LEASE,National Retail Props,Orlando,FL,2007-12-31,2020-02-11,2008-02-22,$10.91,$11.22,($0.31),(2.74%),,1597000,2539605000,19.828,-143396000,27499000,27499000,925000,34365000,0.803,1060070000,1060070000,0,9950000,0,0.066,0.355,46412000,56362000,1.061,56362000,46412000,32552000,0.45,0.44,0.45,1407285000,1407285000,2586993564,13,11.207,-207364000,-2.922,1,52193000,0.983,0,13860000,3572176000,0,343054000,1129986000,1554422564,1056000,409000,121922000,52807000,-25469000,147276000,-82252000,23784000,-63968000,0,34365000,32669000,32669000,0,0,0.615,19854000,32339000,0,0.789,1.105,10.34,9.441,2093343000,1696000,21.43,8.261,7.534,3818000,137599000,53118000,53118000,0,531000,8651000,1,72534884,70975258,71325538,0.748,2539605000,0,-1813000,1671000,35.782,,,,,,,,,,,2007,12,4,2007-4
