reportPeriod,ticker,period,sector,company,city,state,calendarDate,updated,dateKey,Price_Actual,Price_LQ,Delta_QoQ,Return_QoQ,Price_Avg,accumulatedOtherComprehensiveIncome,assets,bookValuePerShare,capitalExpenditure,cashAndEquivalents,cashAndEquivalentsUSD,costOfRevenue,consolidatedIncome,debtToEquityRatio,debt,debtUSD,deferredRevenue,depreciationAmortizationAndAccretion,deposits,dividendYield,dividendsPerBasicCommonShare,earningBeforeInterestTaxes,earningsBeforeInterestTaxesDepreciationAmortization,EBITDAMargin,earningsBeforeInterestTaxesDepreciationAmortizationUSD,earningBeforeInterestTaxesUSD,earningsBeforeTax,earningsPerBasicShare,earningsPerDilutedShare,earningsPerBasicShareUSD,shareholdersEquity,shareholdersEquityUSD,enterpriseValue,enterpriseValueOverEBIT,enterpriseValueOverEBITDA,freeCashFlow,freeCashFlowPerShare,foreignCurrencyUSDExchangeRate,grossProfit,grossMargin,goodwillAndIntangibleAssets,interestExpense,investedCapital,inventory,investments,totalLiabilities,marketCapitalization,netCashFlow,netCashFlowBusinessAcquisitionsDisposals,issuanceEquityShares,issuanceDebtSecurities,paymentDividendsOtherCashDistributions,netCashFlowFromFinancing,netCashFlowFromInvesting,netCashFlowInvestmentAcquisitionsDisposals,netCashFlowFromOperations,effectOfExchangeRateChangesOnCash,netIncome,netIncomeCommonStock,netIncomeCommonStockUSD,netLossIncomeFromDiscontinuedOperations,netIncomeToNonControllingInterests,profitMargin,operatingExpenses,operatingIncome,tradeAndNonTradePayables,payoutRatio,priceToBookValue,priceEarnings,priceToEarningsRatio,propertyPlantEquipmentNet,preferredDividendsIncomeStatementImpact,sharePriceAdjustedClose,priceSales,priceToSalesRatio,tradeAndNonTradeReceivables,accumulatedRetainedEarningsDeficit,revenues,revenuesUSD,researchAndDevelopmentExpense,shareBasedCompensation,sellingGeneralAndAdministrativeExpense,shareFactor,shares,weightedAverageShares,weightedAverageSharesDiluted,salesPerShare,tangibleAssetValue,taxAssets,incomeTaxExpense,taxLiabilities,tangibleAssetsBookValuePerShare,assetsCurrent,assetsNonCurrent,currentRatio,debtCurrent,debtNonCurrent,investmentsCurrent,investmentsNonCurrent,currentLiabilities,liabilitiesNonCurrent,workingCapital,Year,Month,Quarter,Yr-Q
2000-03-31,VTR,Q,HEALTH CARE,Ventas,Chicago,IL,2000-03-31,2020-02-24,2000-05-09,$1.05,- ,- ,- ,,0,1024288000,0.177,0,121648000,121648000,0,2733000,84.293,923368000,923368000,0,10653000,0,0,0,26582000,37235000,0.63,37235000,26582000,2733000,0.04,0.04,0.04,12009000,12009000,1066844807,9,6.586,45536000,0.671,1,59100000,1,0,23849000,1826008000,0,0,1012279000,265124807,-17946000,0,13000,-63495000,0,-63482000,0,0,45536000,0,2733000,2733000,2733000,0,0,0.046,28311000,30789000,9981000,0,22.077,10.635,10.473,884157000,0,3.875,1.125,1.116,0,9142000,59100000,59100000,0,405000,5610000,1,68419305,67898000,67912000,0.87,1024288000,0,0,57325000,15.086,,,,,,,,,,,2000,3,1,2000-1
2000-03-31,MAC,Q,MALL,Macerich,Santa Monica,CA,2000-03-31,2020-02-25,2000-05-15,$5.37,- ,- ,- ,,0,2382249000,17.862,-6144000,30756000,30756000,23900000,10974000,2.659,1563017000,1563017000,0,14528000,0,0.085,0.51,39125000,53653000,0.712,53653000,39125000,10974000,0.19,0.19,0.19,608928000,608928000,2334736885,9,7.155,19238000,0.564,1,51403000,0.683,0,28151000,3914510000,0,343152000,1619277000,802475885,-9699000,6506000,0,1882000,0,-26043000,-9038000,0,25382000,0,10974000,6326000,6326000,0,0,0.084,15999000,35404000,29610000,2.684,1.318,7.41,7.367,1926340000,4648000,23.5,2.478,2.473,28155000,32308000,75303000,75303000,0,0,1469000,1,34147910,34091000,45350000,2.209,2382249000,0,0,0,69.879,,,,,,,,,,,2000,3,1,2000-1
2000-03-31,EQR,Q,RESIDENTIAL,Equity Residential,Chicago,IL,2000-03-31,2020-02-21,2000-05-11,$6.78,- ,- ,- ,,0,11784166000,21.492,45467000,72510000,72510000,181116000,101139000,1.051,5366193000,5366193000,0,111886000,40037000,0.065,0.38,196250000,308136000,0.635,308136000,196250000,101139000,0.285,0.285,0.285,5493332000,5493332000,11189983700,15,9.497,259884000,1.017,1,304294000,0.627,0,95111000,17077849000,0,83290000,5774061000,5896300700,43393000,-42337000,6900000,-172627000,-257000,-123466000,-47558000,6283000,214417000,0,101139000,72751000,72751000,0,0,0.15,118584000,185710000,230270000,1.333,1.073,20.384,19.742,11111308000,28388000,23,3.235,3.226,1226000,-350328000,485410000,485410000,0,0,6698000,1,256360900,255596000,255596000,1.899,11784166000,0,0,0,46.105,,,,,,,,,,,2000,3,1,2000-1
2000-03-31,EGP,Q,INDUSTRIAL,EastGroup Properties,Jackson,MS,2000-03-31,2020-02-14,2000-05-15,$7.84,- ,- ,- ,,-350000,631747000,23.62,-10394000,2877000,2877000,5196000,6965000,0.718,247619000,247619000,0,5529000,0,0.072,0.38,11099000,16628000,0.719,16628000,11099000,6965000,0.29,0.28,0.29,367746000,367746000,568913772,10,7.374,-315000,-0.02,1,17945000,0.775,0,4134000,876489000,0,16107000,264001000,324171772,220000,0,745000,3923000,-8432000,-5810000,-4049000,9577000,10079000,0,6965000,4463000,4463000,0,0,0.193,6748000,11197000,9147000,1.31,0.882,10.345,10.48,593240000,2502000,20.75,3.663,3.651,0,25187000,23141000,23141000,0,0,1219000,1,15622736,15569000,15732000,1.486,631747000,0,0,0,40.577,,,,,,,,,,,2000,3,1,2000-1
2000-03-31,HIW,Q,OFFICE,Highwoods Properties,Raleigh,NC,2000-03-31,2020-04-28,2000-05-05,$5.98,- ,- ,- ,,0,4021351000,30.842,-28400000,25521000,25521000,39461000,41237000,1.029,1811998000,1811998000,0,28328000,0,0.095,1.11,69005000,97333000,0.69,97333000,69005000,41237000,0.55,0.55,0.55,1863058000,1863058000,3178679641,12,8.547,30927000,0.512,1,101698000,0.72,0,27768000,5807828000,0,103843000,1916869000,1392202641,-10713000,0,-35194000,45881000,-38438000,-36509000,-33531000,1237000,59327000,0,41237000,33092000,33092000,0,0,0.234,26478000,75220000,104871000,2.018,0.747,12.462,12.776,3723905000,8145000,23.38,2.426,2.461,61738000,-78251000,141159000,141159000,0,0,5096000,1,59546734,60406000,60492000,2.337,4021351000,0,0,0,66.572,,,,,,,,,,,2000,3,1,2000-1
2000-03-31,GTY,Q,NET LEASE,Getty Realty Corporation,New York,NY,2000-03-31,2020-02-28,2000-06-12,$2.31,- ,- ,- ,,0,259521000,10.075,-422000,531000,531000,3063000,3455000,0.947,50850000,50850000,0,2503000,0,0.043,0.15,6803000,9306000,0.605,9306000,6803000,6003000,0.16,0.16,0.16,133297000,133297000,184490258,6,4.648,4395000,0.332,1,12330000,0.801,0,800000,309840000,0,0,126224000,134171258,-120000,0,-8699000,6857000,-3270000,-5112000,175000,0,4817000,0,3455000,2175000,2175000,0,0,0.141,5527000,6803000,9887000,0.938,1.007,13.417,14.189,239370000,1280000,10.5,2.102,2.176,5748000,3299000,15393000,15393000,0,0,549000,1,12778215,13231000,13231000,1.163,259521000,0,2548000,37772000,19.615,,,,,,,,,,,2000,4,2,2000-2
2000-06-30,HST,Q,LODGING,Host Hotels & Resorts,Bethesda,MD,2000-06-30,2020-02-25,2000-07-25,$4.90,$4.54,$0.36 ,7.84%,,3000000,8166000000,5.742,-86000000,155000000,155000000,63000000,-53000000,4.727,4835000000,4835000000,0,75000000,0,0.08,0.21,50000000,125000000,0.628,125000000,50000000,-47000000,-0.27,-0.27,-0.27,1266000000,1266000000,6995119212,11,7.287,67000000,0.304,1,136000000,0.683,0,97000000,12846000000,0,96000000,5985000000,2315119212,29000000,-40000000,1000000,33000000,-51000000,-1000000,-123000000,3000000,153000000,0,-49000000,-58000000,-58000000,0,-4000000,-0.291,91000000,45000000,143000000,-0.778,1.829,9.727,9.722,7108000000,9000000,10.5,1.596,1.596,262000000,-751000000,199000000,199000000,0,0,10000000,1,220487544,220487544,,0.903,8166000000,0,2000000,48000000,37.036,,,,,,,,,,,2000,6,2,2000-2
2000-06-30,HIW,Q,OFFICE,Highwoods Properties,Raleigh,NC,2000-06-30,2020-04-28,2000-08-14,$6.87,$5.98,$0.89 ,14.91%,,0,3883739000,30.642,118587000,52912000,52912000,41427000,11814000,1.008,1714531000,1714531000,0,29362000,0,0.088,0.57,40166000,69528000,0.479,69528000,40166000,11814000,0.07,0.07,0.07,1816856000,1816856000,3159783168,14,9.087,193804000,3.269,1,103694000,0.715,0,28352000,5545358000,0,103923000,1831737000,1498164168,20724000,1921000,-19648000,-97467000,-37803000,-163772000,109279000,-1237000,75217000,0,11814000,3669000,3669000,0,0,0.025,34805000,68889000,117206000,8.143,0.825,17.034,17.586,3564145000,8145000,25.5,2.623,2.647,61326000,-107601000,145121000,145121000,0,227000,5443000,1,58751536,59293000,59608000,2.448,3883739000,0,0,0,65.501,,,,,,,,,,,2000,6,2,2000-2
2000-06-30,SKT,Q,MALL,Tanger Outlet Centers,Greensboro,NC,2000-06-30,2020-02-20,2000-08-11,$1.88,$1.49,$0.39 ,25.81%,,0,480108000,3.125,-7645000,185000,185000,8268000,-1497000,3.575,327684000,327684000,0,6537000,0,0.109,0.152,5440000,11977000,0.439,11977000,5440000,-1497000,-0.063,-0.063,-0.063,98454000,98454000,501734590,13,7.984,2170000,0.069,1,19022000,0.697,0,6937000,807607000,0,0,351950000,174235590,-15000,0,0,-1933000,-5252000,-9104000,-726000,0,9815000,0,-1497000,-1964000,-1964000,0,0,-0.072,8403000,10619000,24266000,-2.413,1.77,18.057,18.131,456458000,467000,5.53,1.616,1.616,0,-38197000,27290000,27290000,0,0,1866000,1,31507340,31507340,,0.866,480108000,0,0,0,15.238,,,,,,,,,,,2000,6,2,2000-2
2000-06-30,EQR,Q,RESIDENTIAL,Equity Residential,Chicago,IL,2000-06-30,2020-02-21,2000-08-10,$7.89,$6.78,$1.11 ,16.29%,,0,11746743000,21.413,-30977000,237066000,237066000,179490000,152659000,1.028,5277601000,5277601000,0,112626000,39077000,0.06,0.38,247811000,360437000,0.731,360437000,247811000,152659000,0.485,0.48,0.485,5527685000,5527685000,11660324987,14,9.236,175503000,0.68,1,313623000,0.636,0,95152000,16787278000,0,81777000,5682177000,6619789987,164556000,-38587000,7148000,132335000,-97229000,24012000,-65936000,-622000,206480000,0,152659000,125393000,125393000,0,0,0.254,119144000,194479000,246808000,0.784,1.198,19.148,18.476,10873542000,27266000,25.22,3.496,3.439,1408000,-324561000,493113000,493113000,0,0,6518000,1,262481760,258144000,258144000,1.91,11746743000,0,0,0,45.505,,,,,,,,,,,2000,6,2,2000-2
